año,kms,es_automatico,precio
2015,131770,0,12870
2016,114366,0,15199
2018,89079,0,17400
2017,120000,0,15700
2016,115529,0,13990
2017,118664,1,14900
2017,97000,0,13999
2019,106000,0,15990
2016,128000,0,15000
2017,132394,0,14599
2016,130000,0,12999
2017,115986,0,15900
2016,116291,0,15499
2017,101000,0,13499
2014,112972,0,11900
2020,139999,1,17690
2020,111913,1,20999
2013,115209,0,10890
2020,81000,0,21950
2020,110000,0,19890
2020,111778,0,19990
2014,140000,0,11999
2019,132394,0,14599
2020,88098,1,23990
2019,94813,0,16790
2020,108901,0,17490
2020,122000,0,16990
2018,80000,1,19900
2013,133772,0,10290
2013,88772,0,13199
2017,96160,0,14799
